"MPSA","p_value","category","effect_size"
0.0759425015046162,0.719671726521041,"Not Significant",0.245107863113313
0.159168058412272,0.186424835431458,"Not Significant",2.00196781160437
0.155336828805014,0.194739042840309,"Not Significant",2.09733405751307
0.245691517549518,0.0112871492181837,"Strong Hotspot",3.97155237841149
0.147044800205388,0.275290675290675,"Not Significant",1.50162927899205
0.249409484446995,0.0195419299896912,"Strong Hotspot",4.14869407091313
0.114238816738817,0.423939357860063,"Not Significant",1.0114273994027
0.159659131876848,0.201128839683057,"Not Significant",1.85583361991277
0.111642630667525,0.38794349905461,"Not Significant",1.16221505000422
0.0793928176240315,0.691151081394984,"Not Significant",0.404858727029543
0.084460672392124,0.663940536280962,"Not Significant",0.375183082405601
0.0411466037379747,0.699803251527389,"Not Significant",-0.583207824720621
0.200486547764139,0.0112871492181837,"Strong Hotspot",4.12509202400002
0.256109883708679,0,"Strong Hotspot",4.76691297406038
0.135812311531328,0.226751891556361,"Not Significant",1.66134209656716
0.111787534151502,0.442104442104442,"Not Significant",1.02916831618432
0.109662952841427,0.478502598984527,"Not Significant",0.79221130655682
0.0586447365884118,0.991046431046431,"Not Significant",-0.170696797646966
0.316825144362738,0,"Strong Hotspot",6.17338339994196
0.240988042763077,0.0926398096209417,"Not Significant",2.83240222587578
0.340053216030258,0,"Strong Hotspot",7.67162906354445
0.193642027253884,0.0881265881265881,"Not Significant",3.02069834404099
0.204380208033193,0.0785585585585586,"Not Significant",3.02287383591054
0.150524861282226,0.207949125596184,"Not Significant",1.76114301184003
0.19290521978022,0.0984878683993728,"Not Significant",2.84769054108573
0.0713798324320806,0.842308106151754,"Not Significant",0.110334979873923
0.188383947530007,0.100716100716101,"Not Significant",2.80079660384044
0.116039910129732,0.423939357860063,"Not Significant",0.970031968402291
0.346420110031725,0,"Strong Hotspot",6.84180425252088
0.0661260492246408,0.892331822268128,"Not Significant",-0.0399489997120972
0.155975993611863,0.194284607187833,"Not Significant",2.08002407185595
0.12375,0.371893019780344,"Not Significant",1.14553239221382
0.133854599615233,0.130930930930931,"Not Significant",2.19188993724088
0.257292605245822,0.0265400535670806,"Strong Hotspot",4.54389776801738
0.147209225502267,0.19517654300263,"Not Significant",1.84322656529321
0.0946576808484706,0.546799673236455,"Not Significant",0.67136944330381
0.279547523744299,0,"Strong Hotspot",5.478312475674
0.145668185429522,0.133798031608251,"Not Significant",2.34433212412363
0.0834817238662836,0.610848766982596,"Not Significant",0.482780035098901
0.256027987205785,0.0265400535670806,"Strong Hotspot",4.38237953972912
0.273155291374648,0,"Strong Hotspot",5.08487227949695
0.141583252801343,0.18826669807062,"Not Significant",2.09328442883724
0.112765905542545,0.425954338618094,"Not Significant",0.967765132947823
0.200947204841942,0.0881265881265881,"Not Significant",2.99886331176781
0.155224429031466,0.173683887969602,"Not Significant",2.14251635852825
0.302810723169865,0.0112871492181837,"Strong Hotspot",5.9050601789984
0.180106361425253,0.0926398096209417,"Not Significant",2.85943753908438
0.132508354218881,0.3112818701054,"Not Significant",1.41488193117736
0.100933829641141,0.478502598984527,"Not Significant",0.786052210397826
0.285883472536331,0.0112871492181837,"Strong Hotspot",5.11027385972709
0.142587317534351,0.210561438631614,"Not Significant",1.85453241655841
0.329867534057391,0,"Strong Hotspot",6.23838256568309
0.119375629700154,0.273638718083163,"Not Significant",1.56020910746065
0.106754344108548,0.404695604695605,"Not Significant",1.06066436586818
